topcreditor,topdebtor,creditor,debtor,amount,risk
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,LoadFailureHandler,LoadFailureHandler,2
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,PluginFactoryContainer,AptPlugin,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,ReconcileEnvCallback,APTDispatchRunnable,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,ReconcileEnvCallback,AptPlugin,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,ResourceListener,AnnotationProcessorFactoryLoader,2
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,ResourceListener,AptPlugin,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,ResourceListener,FactoryPathDeltaVisitor,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal,ResourceListener,LoadFailureHandler,1
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.generatedfile,APTDispatchRunnable,GeneratedFileManager,3
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.generatedfile,AptProject,GeneratedFileManager,4
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.generatedfile,AptProject,GeneratedSourceFolderManager,3
org.eclipse.jdt.apt.core.internal,org.eclipse.jdt.apt.core.internal.generatedfile,ReconcileEnvCallback,GeneratedFileManager,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.env,ClassDeclarationImpl,BaseProcessorEnv,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.env,DeclarationImpl,BaseProcessorEnv,3
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.env,PackageDeclarationImpl,BaseProcessorEnv,3
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.env,TypeDeclarationImpl,BaseProcessorEnv,2
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,AnnotationElementDeclarationImpl,Factory,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,AnnotationMirrorImpl,Factory,4
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,ASTBasedAnnotationElementDeclarationImpl,Factory,5
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,ASTBasedFieldDeclarationImpl,Factory,3
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,ASTBasedMemberDeclarationImpl,Factory,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,ASTBasedMethodDeclarationImpl,Factory,4
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,BinaryParameterDeclarationImpl,Factory,2
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,ClassDeclarationImpl,Factory,4
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,EclipseDeclarationImpl,Factory,3
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,EnumDeclarationImpl,Factory,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,ExecutableDeclarationImpl,Factory,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,ExecutableUtil,Factory,4
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,FieldDeclarationImpl,Factory,3
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,MethodDeclarationImpl,Factory,2
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,PackageDeclarationImpl,PackageUtil,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,SourceParameterDeclarationImpl,Factory,7
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,TypeDeclarationImpl,Factory,14
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.util,TypeParameterDeclarationImpl,Factory,2
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationDeclarationImpl,TypeDeclarationImpl,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationElementDeclarationImpl,DeclarationImpl,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationElementDeclarationImpl,ExecutableDeclarationImpl,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationMirrorImpl,AnnotationMirrorImpl,9
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationMirrorImpl,EclipseDeclarationImpl,6
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationMirrorImpl,EclipseMirrorObject,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationValueImpl,AnnotationElementDeclarationImpl,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationValueImpl,AnnotationMirrorImpl,4
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationValueImpl,AnnotationValueImpl,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationValueImpl,ASTBasedDeclarationImpl,3
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationValueImpl,DeclarationImpl,2
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationValueImpl,EclipseDeclarationImpl,3
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationValueImpl,EclipseMirrorObject,4
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,AnnotationValueImpl,ExecutableDeclarationImpl,1
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,ASTBasedAnnotationElementDeclarationImpl,ASTBasedAnnotationElementDeclarationImpl,3
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,ASTBasedAnnotationElementDeclarationImpl,ASTBasedDeclarationImpl,2
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,ASTBasedDeclarationImpl,ASTBasedDeclarationImpl,4
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,ASTBasedDeclarationImpl,EclipseDeclarationImpl,3
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,ASTBasedExecutableDeclarationImpl,ASTBasedExecutableDeclarationImpl,3
org.eclipse.jdt.apt.core.internal.declaration,org.eclipse.jdt.apt.core.internal.declaration,ASTBasedExecutableDeclarationImpl,ExecutableUtil,3
